dataset,scope,trace,comparison,metric,better_when,n,mean,std,ci95_half_width,ci95_low,ci95_high,ci95_excludes_zero
validation,per_trace,validation_bursty,standard_minus_static,buffer_mean_s,descriptive,5,-2.9962934467098554,0.7788769753495118,0.9669484583325678,-3.9632419050424232,-2.0293449883772876,True
validation,per_trace,validation_bursty,standard_minus_static,buffer_std_s,lower,5,-1.4608165538310491,0.5432056988380579,0.6743708309174561,-2.1351873847485052,-0.786445722913593,True
validation,per_trace,validation_bursty,robust_minus_static,startup_delay_s,lower,5,0.6677265500794913,0.4608436578898489,0.5721212446021626,0.0956053054773287,1.239847794681654,True
validation,per_trace,validation_bursty,robust_minus_static,rebuffering_s,lower,5,-9.238623021305056,9.205456627089411,11.428251669420728,-20.666874690725784,2.189628648115672,False
validation,per_trace,validation_bursty,robust_minus_static,rebuffering_rate_percent,lower,5,-15.397705035508427,15.342427711815683,19.04708611570121,-34.444791151209635,3.649381080192782,False
validation,per_trace,validation_bursty,robust_minus_static,average_bitrate_kbps,higher,5,190.0,147.47881203752627,183.08977470082812,6.910225299171884,373.0897747008281,True
validation,per_trace,validation_bursty,robust_minus_static,buffer_mean_s,descriptive,5,-1.5136985689152787,1.1103770178961998,1.3784941391300527,-2.8921927080453314,-0.13520442978522595,True
validation,per_trace,validation_bursty,robust_minus_static,buffer_std_s,lower,5,-1.1832142867655957,0.25995668663081983,0.32272711265873116,-1.505941399424327,-0.8604871741068645,True
validation,per_trace,validation_bursty,robust_minus_standard,startup_delay_s,lower,5,-0.32909379968203506,0.49283296562634477,0.6118348486473334,-0.9409286483293684,0.28274104896529834,False
validation,per_trace,validation_bursty,robust_minus_standard,rebuffering_s,lower,5,-35.83282332716955,19.86957899525289,24.66738571718006,-60.50020904434961,-11.165437609989489,True
validation,per_trace,validation_bursty,robust_minus_standard,rebuffering_rate_percent,lower,5,-59.721372211949245,33.11596499208815,41.11230952863343,-100.83368174058268,-18.609062683315813,True
validation,per_trace,validation_bursty,robust_minus_standard,average_bitrate_kbps,higher,5,-646.6666666666666,398.50414747597733,494.7289279775114,-1141.395594644178,-151.93773868915525,True
validation,per_trace,validation_bursty,robust_minus_standard,buffer_mean_s,descriptive,5,1.4825948777945768,0.9538298162479012,1.1841462766551436,0.29844860113943317,2.6667411544497206,True
validation,per_trace,validation_bursty,robust_minus_standard,buffer_std_s,lower,5,0.2776022670654534,0.6087005007614487,0.7556803313301508,-0.4780780642646974,1.0332825983956042,False
validation,per_trace,validation_mixed,standard_minus_static,startup_delay_s,lower,5,1.195852534562212,0.28852490032255346,0.35819354838709666,0.8376589861751154,1.5540460829493086,True
validation,per_trace,validation_mixed,standard_minus_static,rebuffering_s,lower,5,-9.31584559944827,0.4473697176702253,0.5553938202009165,-9.871239419649186,-8.760451779247354,True
