sequence,segment,representation_id,encoder_target_kbps,bitrate_kbps,duration_s,size_bytes,psnr_y_db,source_file,sha256
sita_sings_the_blues,57,L1,2000,1801,1,252290,32.838533,../encoded/full/sita_sings_the_blues/bitrate_002000kbps/segment_0057.266,0571ce566f1bee3cf6a84ef7735cc2b49c76d46d13c37be9ad623afa108287c5
sita_sings_the_blues,57,L2,4000,3219,1,521179,35.177277,../encoded/full/sita_sings_the_blues/bitrate_004000kbps/segment_0057.266,69ef18404c2a8775a6b5232e005b8cfd2969191aeb4e7f6dd0003aebefb4157e
sita_sings_the_blues,57,L3,8000,5583,1,961268,37.972340,../encoded/full/sita_sings_the_blues/bitrate_008000kbps/segment_0057.266,f0fa58572923b499d30e0e46958b458029c1a420afe2d9e41b19c1d435c29692
sita_sings_the_blues,58,L0,1000,973,1,102175,24.018119,../encoded/full/sita_sings_the_blues/bitrate_001000kbps/segment_0058.266,93654ca524e26f51010d238423efc9c854595e665b608b60fde5f5006d3cf546
sita_sings_the_blues,58,L1,2000,1801,1,221966,25.260374,../encoded/full/sita_sings_the_blues/bitrate_002000kbps/segment_0058.266,9b68d9ea2606d65580d204d40a6d03dc9931e51d4ffb7f60357dc68647c2d654
sita_sings_the_blues,58,L2,4000,3219,1,492782,26.854824,../encoded/full/sita_sings_the_blues/bitrate_004000kbps/segment_0058.266,82b95139e7220000ea15447ad45d523b3a49bfa360b6c89fcff23ef4fb620c74
sita_sings_the_blues,58,L3,8000,5583,1,997524,28.931387,../encoded/full/sita_sings_the_blues/bitrate_008000kbps/segment_0058.266,d6915ec49091cd77af92b4854c742af5d6f827b523ced4cc0f77cb07d3660a41
sita_sings_the_blues,59,L0,1000,973,1,109066,25.948435,../encoded/full/sita_sings_the_blues/bitrate_001000kbps/segment_0059.266,d3819f2500129e61fabda1d32c5daf8cf5029cf58fa7406b12e3a7fc1b302c14
sita_sings_the_blues,59,L1,2000,1801,1,254368,27.272436,../encoded/full/sita_sings_the_blues/bitrate_002000kbps/segment_0059.266,eeec0f47d6e20e5720d48350746b60b1768c7bb5b20a5229e3358bfefd8123ac
sita_sings_the_blues,59,L2,4000,3219,1,521573,28.720683,../encoded/full/sita_sings_the_blues/bitrate_004000kbps/segment_0059.266,a3b0c6842933cdd96ab1c44b4f8c0f9f4cc6fe2d912eeb96653a442cb476e7e8
sita_sings_the_blues,59,L3,8000,5583,1,1062523,30.838624,../encoded/full/sita_sings_the_blues/bitrate_008000kbps/segment_0059.266,05b8c3c59c3cdce54dc0646f4dc3cd5caf95c15369aff276bba779d3675c7b25
