sequence,segment,representation_id,encoder_target_kbps,bitrate_kbps,duration_s,size_bytes,psnr_y_db,source_file,sha256
tears_of_steel,8,L1,2000,1487,1,166593,44.165138,../encoded/full/tears_of_steel/bitrate_002000kbps/segment_0008.266,2e6c48e6878b476b555efbb1312151e2d6ef728deca6dcb607f4c9edd2c160e9
tears_of_steel,8,L2,4000,2327,1,245361,44.908028,../encoded/full/tears_of_steel/bitrate_004000kbps/segment_0008.266,50ba69c0acc871f601039432887d198ce7f6f05a622e94799d56ac4dae2c9c30
tears_of_steel,8,L3,8000,3593,1,341057,45.372362,../encoded/full/tears_of_steel/bitrate_008000kbps/segment_0008.266,ab1beb2bddb2e17d0998ac5b60d439f51626b357415fac27d3936be90444a11a
tears_of_steel,9,L0,1000,894,1,104402,43.047412,../encoded/full/tears_of_steel/bitrate_001000kbps/segment_0009.266,dbc52691282ae929ac9e07a62524a627e11707389acd7ef9e06232dd6467fbb9
tears_of_steel,9,L1,2000,1487,1,181368,44.401646,../encoded/full/tears_of_steel/bitrate_002000kbps/segment_0009.266,5f3bfca818b6ed87b447a46092a5fdfc8b3762993b9651a63a30ac7c54fb445a
tears_of_steel,9,L2,4000,2327,1,240875,44.904583,../encoded/full/tears_of_steel/bitrate_004000kbps/segment_0009.266,c29db4a8d8fc972f59b41cdcf92f85f452b83dbc86abbdef1a7d82117c3f77ec
tears_of_steel,9,L3,8000,3593,1,337619,45.356894,../encoded/full/tears_of_steel/bitrate_008000kbps/segment_0009.266,4f1ba57cc467adc2140144a212915b91d5d4a8e740293a429407cca72b9680d6
tears_of_steel,10,L0,1000,894,1,105678,43.347241,../encoded/full/tears_of_steel/bitrate_001000kbps/segment_0010.266,3701efd0d0e95cee90716db761affc2e52b7c108fdbffaa1190d85da9faeb590
tears_of_steel,10,L1,2000,1487,1,178411,44.621322,../encoded/full/tears_of_steel/bitrate_002000kbps/segment_0010.266,395ebd7987d355bc783808f77e732c5786905c5dc8ce8e3675f1eb1ae0a0d8d7
tears_of_steel,10,L2,4000,2327,1,233971,45.093421,../encoded/full/tears_of_steel/bitrate_004000kbps/segment_0010.266,dba8fb2802b187ba7bdcf1bd09336871eef12052cc8605570a1b64a13e5f2778
tears_of_steel,10,L3,8000,3593,1,385525,45.742073,../encoded/full/tears_of_steel/bitrate_008000kbps/segment_0010.266,e41a66aaf5b9de6e82d9341d0facf551d2d56ca19f4859fde3e76dd407b67e0d
tears_of_steel,11,L0,1000,894,1,110900,43.529320,../encoded/full/tears_of_steel/bitrate_001000kbps/segment_0011.266,e77811ea691407d523e8b9bedf5b1fcf4258ff0345506ebd7fc4b218ef688886
tears_of_steel,11,L1,2000,1487,1,175027,44.558738,../encoded/full/tears_of_steel/bitrate_002000kbps/segment_0011.266,1f58e8194adec4f8da6ec9de7261ed2554cbdb81a7f2593b9175a50ccfb82fda
tears_of_steel,11,L2,4000,2327,1,274323,45.279066,../encoded/full/tears_of_steel/bitrate_004000kbps/segment_0011.266,2711ed38665b277469c35d942c2e24dedc28b1240501cf40de239b300d6bfdbf
tears_of_steel,11,L3,8000,3593,1,390003,45.712471,../encoded/full/tears_of_steel/bitrate_008000kbps/segment_0011.266,69d246746848882743f4fdc9a363d0f52c49b0523f5d809b6ae003fc45bbf7fd
tears_of_steel,12,L0,1000,894,1,112773,44.356355,../encoded/full/tears_of_steel/bitrate_001000kbps/segment_0012.266,2aae8f3862c1cf6f3f7160e423b60de87b36b9b7a31d6b3ee8aea68676261ea0
tears_of_steel,12,L1,2000,1487,1,174248,44.992347,../encoded/full/tears_of_steel/bitrate_002000kbps/segment_0012.266,015af660865ba6399df3a653f9dd949a229e3fc927abf21dc71f8623aee0cc61
tears_of_steel,12,L2,4000,2327,1,265891,45.487301,../encoded/full/tears_of_steel/bitrate_004000kbps/segment_0012.266,85a9379e7dca95d4ae23923165663ec642e3c618b05b5cd3a47b5ad185ca6fe8
tears_of_steel,12,L3,8000,3593,1,526943,46.113516,../encoded/full/tears_of_steel/bitrate_008000kbps/segment_0012.266,11bc0868a20cef6c11885a15ca16a6ae6980c3e0401ac8183c4685d8823a061f
