scope,content,trace,controller,metric,better_when,n,mean,std,ci95_half_width,ci95_low,ci95_high
per_content_trace,big_buck_bunny,stage56_evaluation_high_start,throughput,startup_delay_s,lower,10,1.6989554713602282,0.0,0.0,1.6989554713602282,1.6989554713602282
per_content_trace,big_buck_bunny,stage56_evaluation_high_start,throughput,rebuffering_s,lower,10,0.0,0.0,0.0,0.0,0.0
per_content_trace,big_buck_bunny,stage56_evaluation_high_start,throughput,rebuffering_rate_percent,lower,10,0.0,0.0,0.0,0.0,0.0
per_content_trace,big_buck_bunny,stage56_evaluation_high_start,throughput,average_bitrate_kbps,higher,10,2671.8166666666666,0.0,0.0,2671.8166666666666,2671.8166666666666
per_content_trace,big_buck_bunny,stage56_evaluation_high_start,throughput,average_payload_bitrate_kbps,higher,10,2687.2466666666664,0.0,0.0,2687.2466666666664,2687.2466666666664
per_content_trace,big_buck_bunny,stage56_evaluation_high_start,throughput,buffer_mean_s,descriptive,10,11.304991324962879,0.0,0.0,11.304991324962879,11.304991324962879
per_content_trace,big_buck_bunny,stage56_evaluation_high_start,throughput,buffer_std_s,lower,10,5.648785465682222,0.0,0.0,5.648785465682222,5.648785465682222
per_content_trace,big_buck_bunny,stage56_evaluation_high_start,throughput,mean_objective_reward,higher,10,0.3673888020278352,0.0,0.0,0.3673888020278352,0.3673888020278352
per_content_trace,big_buck_bunny,stage56_evaluation_high_start,throughput,mean_quality_utility,higher,10,0.6897474406993136,0.0,0.0,0.6897474406993136,0.6897474406993136
per_content_trace,big_buck_bunny,stage56_evaluation_high_start,throughput,mean_psnr_y_db,higher,10,47.06756665,0.0,0.0,47.06756665,47.06756665
per_content_trace,big_buck_bunny,stage56_evaluation_high_start,throughput,switch_count,lower,10,13.0,0.0,0.0,13.0,13.0
per_content_trace,big_buck_bunny,stage56_evaluation_high_start,throughput,high_representation_fraction_percent,descriptive,10,46.666666666666664,0.0,0.0,46.666666666666664,46.666666666666664
per_content_trace,big_buck_bunny,stage56_evaluation_high_start,bola-basic,startup_delay_s,lower,10,0.6473731938179587,0.0,0.0,0.6473731938179587,0.6473731938179587
per_content_trace,big_buck_bunny,stage56_evaluation_high_start,bola-basic,rebuffering_s,lower,10,0.0,0.0,0.0,0.0,0.0
per_content_trace,big_buck_bunny,stage56_evaluation_high_start,bola-basic,rebuffering_rate_percent,lower,10,0.0,0.0,0.0,0.0,0.0
per_content_trace,big_buck_bunny,stage56_evaluation_high_start,bola-basic,average_bitrate_kbps,higher,10,2792.0666666666666,0.0,0.0,2792.0666666666666,2792.0666666666666
per_content_trace,big_buck_bunny,stage56_evaluation_high_start,bola-basic,average_payload_bitrate_kbps,higher,10,2787.207066666667,0.0,0.0,2787.207066666667,2787.207066666667
per_content_trace,big_buck_bunny,stage56_evaluation_high_start,bola-basic,buffer_mean_s,descriptive,10,10.310022933792855,0.0,0.0,10.310022933792855,10.310022933792855
per_content_trace,big_buck_bunny,stage56_evaluation_high_start,bola-basic,buffer_std_s,lower,10,4.006918523711357,0.0,0.0,4.006918523711357,4.006918523711357
per_content_trace,big_buck_bunny,stage56_evaluation_high_start,bola-basic,mean_objective_reward,higher,10,0.5754790434953275,0.0,0.0,0.5754790434953275,0.5754790434953275
per_content_trace,big_buck_bunny,stage56_evaluation_high_start,bola-basic,mean_quality_utility,higher,10,0.7478519902085125,0.0,0.0,0.7478519902085125,0.7478519902085125
per_content_trace,big_buck_bunny,stage56_evaluation_high_start,bola-basic,mean_psnr_y_db,higher,10,47.10346071666667,0.0,0.0,47.10346071666667,47.10346071666667
per_content_trace,big_buck_bunny,stage56_evaluation_high_start,bola-basic,switch_count,lower,10,7.0,0.0,0.0,7.0,7.0
per_content_trace,big_buck_bunny,stage56_evaluation_high_start,bola-basic,high_representation_fraction_percent,descriptive,10,41.666666666666664,0.0,0.0,41.666666666666664,41.666666666666664
per_content_trace,big_buck_bunny,stage56_evaluation_high_start,robust-mpc,startup_delay_s,lower,10,1.6989554713602282,0.0,0.0,1.6989554713602282,1.6989554713602282
per_content_trace,big_buck_bunny,stage56_evaluation_high_start,robust-mpc,rebuffering_s,lower,10,0.0,0.0,0.0,0.0,0.0
per_content_trace,big_buck_bunny,stage56_evaluation_high_start,robust-mpc,rebuffering_rate_percent,lower,10,0.0,0.0,0.0,0.0,0.0
per_content_trace,big_buck_bunny,stage56_evaluation_high_start,robust-mpc,average_bitrate_kbps,higher,10,2883.75,0.0,0.0,2883.75,2883.75
per_content_trace,big_buck_bunny,stage56_evaluation_high_start,robust-mpc,average_payload_bitrate_kbps,higher,10,2853.24,0.0,0.0,2853.24,2853.24
per_content_trace,big_buck_bunny,stage56_evaluation_high_start,robust-mpc,buffer_mean_s,descriptive,10,11.3518395528846,0.0,0.0,11.3518395528846,11.3518395528846
per_content_trace,big_buck_bunny,stage56_evaluation_high_start,robust-mpc,buffer_std_s,lower,10,4.721182259732989,0.0,0.0,4.721182259732989,4.721182259732989
per_content_trace,big_buck_bunny,stage56_evaluation_high_start,robust-mpc,mean_objective_reward,higher,10,0.5427791663643332,0.0,0.0,0.5427791663643332,0.5427791663643332
per_content_trace,big_buck_bunny,stage56_evaluation_high_start,robust-mpc,mean_quality_utility,higher,10,0.7753973435332037,0.0,0.0,0.7753973435332037,0.7753973435332037
