scope,content,trace,baseline,metric,better_when,delta_definition,n,mean,std,ci95_half_width,ci95_low,ci95_high,ci95_excludes_zero
per_content_trace,elephants_dream,stage56_evaluation_low_start,static,rebuffering_rate_percent,lower,q-learning_minus_static,10,-7.442930277123997,0.8650428710577946,0.6187713997981262,-8.061701676922123,-6.824158877325871,True
per_content_trace,elephants_dream,stage56_evaluation_low_start,static,average_bitrate_kbps,higher,q-learning_minus_static,10,34.43333333333335,64.26264683140417,45.967534402053815,-11.534201068720463,80.40086773538717,False
per_content_trace,elephants_dream,stage56_evaluation_low_start,static,average_payload_bitrate_kbps,higher,q-learning_minus_static,10,14.390093333333311,48.14111713474183,34.43568802651813,-20.045594693184817,48.82578135985144,False
per_content_trace,elephants_dream,stage56_evaluation_low_start,static,buffer_mean_s,descriptive,q-learning_minus_static,10,0.27985584181815837,0.1461098157214901,0.10451340415958688,0.1753424376585715,0.38436924597774524,True
per_content_trace,elephants_dream,stage56_evaluation_low_start,static,buffer_std_s,lower,q-learning_minus_static,10,-0.024343587347409733,0.1681206650449212,0.12025792330688723,-0.14460151065429697,0.09591433595947749,False
per_content_trace,elephants_dream,stage56_evaluation_low_start,static,mean_objective_reward,higher,q-learning_minus_static,10,0.8196386713244751,0.0990480753226632,0.07084980209104551,0.7487888692334296,0.8904884734155206,True
per_content_trace,elephants_dream,stage56_evaluation_low_start,static,mean_quality_utility,higher,q-learning_minus_static,10,0.013788948109236495,0.026227484213614656,0.018760708472398163,-0.004971760363161668,0.03254965658163466,False
per_content_trace,elephants_dream,stage56_evaluation_low_start,static,mean_psnr_y_db,higher,q-learning_minus_static,10,0.09655552333333191,0.11415946180793787,0.08165908574764613,0.014896437585685776,0.17821460908097803,True
per_content_trace,elephants_dream,stage56_evaluation_low_start,static,switch_count,lower,q-learning_minus_static,10,5.0,3.711842908553348,2.6551079827381785,2.3448920172618215,7.655107982738178,True
per_content_trace,elephants_dream,stage56_evaluation_low_start,static,high_representation_fraction_percent,descriptive,q-learning_minus_static,10,0.0,0.0,0.0,0.0,0.0,False
per_content_trace,elephants_dream,stage56_evaluation_mixed_start,static,startup_delay_s,lower,q-learning_minus_static,10,0.0,0.0,0.0,0.0,0.0,False
per_content_trace,elephants_dream,stage56_evaluation_mixed_start,static,rebuffering_s,lower,q-learning_minus_static,10,0.03745305408604995,0.1184369562413938,0.08471880834264497,-0.04726575425659502,0.12217186242869493,False
per_content_trace,elephants_dream,stage56_evaluation_mixed_start,static,rebuffering_rate_percent,lower,q-learning_minus_static,10,0.06242175681008325,0.19739492706898967,0.1411980139044083,-0.07877625709432506,0.20361977071449155,False
per_content_trace,elephants_dream,stage56_evaluation_mixed_start,static,average_bitrate_kbps,higher,q-learning_minus_static,10,-1500.8666666666666,482.87894496843325,345.4067893141416,-1846.2734559808082,-1155.459877352525,True
per_content_trace,elephants_dream,stage56_evaluation_mixed_start,static,average_payload_bitrate_kbps,higher,q-learning_minus_static,10,-1072.6776399999999,299.70007324653164,214.37762225077913,-1287.055262250779,-858.3000177492207,True
per_content_trace,elephants_dream,stage56_evaluation_mixed_start,static,buffer_mean_s,descriptive,q-learning_minus_static,10,1.0369907852662847,0.679394496718434,0.4859757797154565,0.5510150055508283,1.5229665649817412,True
per_content_trace,elephants_dream,stage56_evaluation_mixed_start,static,buffer_std_s,lower,q-learning_minus_static,10,2.8272239850852263,0.3577365814550286,0.2558915548257669,2.5713324302594596,3.083115539910993,True
