content,training_seed,policy_seed,trace,controller,startup_delay_s,rebuffering_s,rebuffering_rate_percent,average_bitrate_kbps,average_payload_bitrate_kbps,buffer_mean_s,buffer_std_s,mean_objective_reward,mean_quality_utility,mean_psnr_y_db,switch_count,high_representation_fraction_percent
sita_sings_the_blues,11,,stage56_evaluation_high_start,throughput,0.9069729974864653,0.0,0.0,2925.6,2882.3928,9.148977265234025,4.784103134180483,0.0850757700967498,0.5457927258580841,44.342882949999996,12.0,21.666666666666668
sita_sings_the_blues,11,,stage56_evaluation_high_start,bola-basic,0.7187861903760703,0.0,0.0,3083.2,3178.2577333333334,9.846336479719673,3.434718825287276,0.3796197843325579,0.5668049294561139,44.70710196666666,12.0,28.333333333333332
sita_sings_the_blues,11,,stage56_evaluation_high_start,robust-mpc,0.9069729974864653,0.0,0.0,3914.4666666666667,3362.7727999999997,10.23128370078767,3.4372271161273003,0.4784383648882084,0.6886789421242704,45.14349443333333,13.0,56.666666666666664
sita_sings_the_blues,11,11020049,stage56_evaluation_high_start,q-learning,0.7187861903760703,0.0,0.0,3335.3,3188.492133333333,10.051976423419546,3.304592000283465,0.389731630544085,0.5914483370221156,44.835756233333335,21.0,38.333333333333336
sita_sings_the_blues,23,,stage56_evaluation_low_start,static,3.9979402123353287,0.0,0.0,973.0,973.4300000000001,5.114757039390102,1.655179531041933,-0.7572921884747953,0.0,41.18824285,0.0,0.0
sita_sings_the_blues,23,,stage56_evaluation_low_start,throughput,3.9979402123353287,0.0,0.0,973.0,973.4300000000001,5.114757039390102,1.655179531041933,-0.7572921884747953,0.0,41.18824285,0.0,0.0
sita_sings_the_blues,23,,stage56_evaluation_low_start,bola-basic,3.9979402123353287,1.168955182272436,1.9482586371207267,1042.0,1062.1738666666668,3.8694577590881796,1.5190358987446526,-1.2493675064996572,0.02936838938037185,41.39757626666667,7.0,0.0
sita_sings_the_blues,23,,stage56_evaluation_low_start,robust-mpc,4.780662996360299,0.0,0.0,1897.0,1113.0303999999999,4.520647702937113,1.3871218530369978,-0.7384209144889925,0.21236798272871568,42.016128683333335,7.0,18.333333333333332
sita_sings_the_blues,23,23020083,stage56_evaluation_low_start,q-learning,3.9979402123353287,0.0,0.0,1083.4,1036.4816,4.72240848997769,1.5236547256992772,-0.8365102860826082,0.04698942300859496,41.41495775,12.0,0.0
sita_sings_the_blues,23,,stage56_evaluation_mixed_start,static,2.271410516992422,0.0,0.0,3867.0666666666666,3747.076,10.859583002283536,3.790793034028947,0.4601214025091784,0.6339539603099004,45.1363579,3.0,61.666666666666664
sita_sings_the_blues,23,,stage56_evaluation_mixed_start,throughput,2.484822543360225,0.0,0.0,2789.6666666666665,2712.1960000000004,11.286687180098268,5.659213320423774,0.17837585548059998,0.5060119406655217,44.262814049999996,7.0,21.666666666666668
sita_sings_the_blues,23,,stage56_evaluation_mixed_start,bola-basic,2.271410516992422,0.0,0.0,3254.5,3249.2734666666665,10.16331510842129,4.326566135451647,0.28330854453549287,0.5685742524943851,44.72511196666667,8.0,36.666666666666664
sita_sings_the_blues,23,,stage56_evaluation_mixed_start,robust-mpc,2.856203366282591,0.0,0.0,4046.366666666667,3537.0572,11.04069976692702,4.431273878516857,0.44501329383321103,0.6851952142630342,45.1726917,7.0,63.333333333333336
sita_sings_the_blues,23,23020084,stage56_evaluation_mixed_start,q-learning,2.271410516992422,0.0,0.0,2576.8333333333335,2710.938,11.336352664635546,5.319266808667942,0.16602996956142238,0.44297647796682693,43.837082200000005,27.0,18.333333333333332
sita_sings_the_blues,23,,stage56_evaluation_high_start,static,0.7187861903760703,2.2376608664432345,3.7294347774053906,2637.766666666667,2748.0594666666666,7.410945067700108,4.214293486717069,-0.5550340186097197,0.38581584123960105,43.77977716666667,12.0,31.666666666666668
sita_sings_the_blues,23,,stage56_evaluation_high_start,throughput,0.9069729974864653,0.0,0.0,2925.6,2882.3928,9.148977265234025,4.784103134180483,0.0850757700967498,0.5457927258580841,44.342882949999996,12.0,21.666666666666668
sita_sings_the_blues,23,,stage56_evaluation_high_start,bola-basic,0.7187861903760703,0.0,0.0,3083.2,3178.2577333333334,9.846336479719673,3.434718825287276,0.3796197843325579,0.5668049294561139,44.70710196666666,12.0,28.333333333333332
sita_sings_the_blues,23,,stage56_evaluation_high_start,robust-mpc,0.9069729974864653,0.0,0.0,3914.4666666666667,3362.7727999999997,10.23128370078767,3.4372271161273003,0.4784383648882084,0.6886789421242704,45.14349443333333,13.0,56.666666666666664
sita_sings_the_blues,23,23020085,stage56_evaluation_high_start,q-learning,0.7187861903760703,0.0,0.0,2720.6666666666665,2648.1966666666663,11.986195429806733,5.488270998241904,0.2211282857327703,0.47664355128514985,44.0071359,31.0,21.666666666666668
sita_sings_the_blues,37,,stage56_evaluation_low_start,static,3.9979402123353287,0.0,0.0,973.0,973.4300000000001,5.114757039390102,1.655179531041933,-0.7572921884747953,0.0,41.18824285,0.0,0.0
sita_sings_the_blues,37,,stage56_evaluation_low_start,throughput,3.9979402123353287,0.0,0.0,973.0,973.4300000000001,5.114757039390102,1.655179531041933,-0.7572921884747953,0.0,41.18824285,0.0,0.0
sita_sings_the_blues,37,,stage56_evaluation_low_start,bola-basic,3.9979402123353287,1.168955182272436,1.9482586371207267,1042.0,1062.1738666666668,3.8694577590881796,1.5190358987446526,-1.2493675064996572,0.02936838938037185,41.39757626666667,7.0,0.0
sita_sings_the_blues,37,,stage56_evaluation_low_start,robust-mpc,4.780662996360299,0.0,0.0,1897.0,1113.0303999999999,4.520647702937113,1.3871218530369978,-0.7384209144889925,0.21236798272871568,42.016128683333335,7.0,18.333333333333332
