scope,trace,controller,metric,better_when,n,mean,std,ci95_half_width,ci95_low,ci95_high
per_trace,evaluation_challenging,static,mean_objective_reward,higher,5,-3.1248901863931806,0.0,0.0,-3.1248901863931806,-3.1248901863931806
per_trace,evaluation_challenging,static,switch_count,lower,5,0.0,0.0,0.0,0.0,0.0
per_trace,evaluation_challenging,static,high_representation_fraction_percent,descriptive,5,0.0,0.0,0.0,0.0,0.0
per_trace,evaluation_challenging,throughput,startup_delay_s,lower,5,2.134590127819549,0.0,0.0,2.134590127819549,2.134590127819549
per_trace,evaluation_challenging,throughput,rebuffering_s,lower,5,4.796178351287361,0.0,0.0,4.796178351287361,4.796178351287361
per_trace,evaluation_challenging,throughput,rebuffering_rate_percent,lower,5,16.834602847621486,0.0,0.0,16.834602847621486,16.834602847621486
per_trace,evaluation_challenging,throughput,average_bitrate_kbps,higher,5,10026.0,0.0,0.0,10026.0,10026.0
per_trace,evaluation_challenging,throughput,average_payload_bitrate_kbps,higher,5,12307.121937521937,0.0,0.0,12307.121937521937,12307.121937521937
per_trace,evaluation_challenging,throughput,buffer_mean_s,descriptive,5,2.161798075659722,0.0,0.0,2.161798075659722,2.161798075659722
per_trace,evaluation_challenging,throughput,buffer_std_s,lower,5,1.1348879455218377,0.0,0.0,1.1348879455218377,1.1348879455218377
per_trace,evaluation_challenging,throughput,mean_objective_reward,higher,5,-3.1248901863931806,0.0,0.0,-3.1248901863931806,-3.1248901863931806
per_trace,evaluation_challenging,throughput,switch_count,lower,5,0.0,0.0,0.0,0.0,0.0
per_trace,evaluation_challenging,throughput,high_representation_fraction_percent,descriptive,5,0.0,0.0,0.0,0.0,0.0
per_trace,evaluation_challenging,bola-basic,startup_delay_s,lower,5,2.134590127819549,0.0,0.0,2.134590127819549,2.134590127819549
per_trace,evaluation_challenging,bola-basic,rebuffering_s,lower,5,4.796178351287361,0.0,0.0,4.796178351287361,4.796178351287361
per_trace,evaluation_challenging,bola-basic,rebuffering_rate_percent,lower,5,16.834602847621486,0.0,0.0,16.834602847621486,16.834602847621486
per_trace,evaluation_challenging,bola-basic,average_bitrate_kbps,higher,5,10026.0,0.0,0.0,10026.0,10026.0
per_trace,evaluation_challenging,bola-basic,average_payload_bitrate_kbps,higher,5,12307.121937521937,0.0,0.0,12307.121937521937,12307.121937521937
per_trace,evaluation_challenging,bola-basic,buffer_mean_s,descriptive,5,2.161798075659722,0.0,0.0,2.161798075659722,2.161798075659722
per_trace,evaluation_challenging,bola-basic,buffer_std_s,lower,5,1.1348879455218377,0.0,0.0,1.1348879455218377,1.1348879455218377
per_trace,evaluation_challenging,bola-basic,mean_objective_reward,higher,5,-3.1248901863931806,0.0,0.0,-3.1248901863931806,-3.1248901863931806
per_trace,evaluation_challenging,bola-basic,switch_count,lower,5,0.0,0.0,0.0,0.0,0.0
per_trace,evaluation_challenging,bola-basic,high_representation_fraction_percent,descriptive,5,0.0,0.0,0.0,0.0,0.0
per_trace,evaluation_challenging,robust-mpc,startup_delay_s,lower,5,9.255978395363408,0.0,0.0,9.255978395363408,9.255978395363408
per_trace,evaluation_challenging,robust-mpc,rebuffering_s,lower,5,4.796178351287361,0.0,0.0,4.796178351287361,4.796178351287361
per_trace,evaluation_challenging,robust-mpc,rebuffering_rate_percent,lower,5,16.834602847621486,0.0,0.0,16.834602847621486,16.834602847621486
per_trace,evaluation_challenging,robust-mpc,average_bitrate_kbps,higher,5,16424.533333333333,0.0,0.0,16424.533333333333,16424.533333333333
per_trace,evaluation_challenging,robust-mpc,average_payload_bitrate_kbps,higher,5,18578.09701649702,0.0,0.0,18578.09701649702,18578.09701649702
per_trace,evaluation_challenging,robust-mpc,buffer_mean_s,descriptive,5,2.161798075659722,0.0,0.0,2.161798075659722,2.161798075659722
per_trace,evaluation_challenging,robust-mpc,buffer_std_s,lower,5,1.1348879455218377,0.0,0.0,1.1348879455218377,1.1348879455218377
per_trace,evaluation_challenging,robust-mpc,mean_objective_reward,higher,5,-3.020815517709151,0.0,0.0,-3.020815517709151,-3.020815517709151
per_trace,evaluation_challenging,robust-mpc,switch_count,lower,5,2.0,0.0,0.0,2.0,2.0
per_trace,evaluation_challenging,robust-mpc,high_representation_fraction_percent,descriptive,5,13.333333333333334,0.0,0.0,13.333333333333334,13.333333333333334
per_trace,evaluation_challenging,q-learning,startup_delay_s,lower,5,2.134590127819549,0.0,0.0,2.134590127819549,2.134590127819549
per_trace,evaluation_challenging,q-learning,rebuffering_s,lower,5,4.796178351287361,0.0,0.0,4.796178351287361,4.796178351287361
per_trace,evaluation_challenging,q-learning,rebuffering_rate_percent,lower,5,16.834602847621486,0.0,0.0,16.834602847621486,16.834602847621486
per_trace,evaluation_challenging,q-learning,average_bitrate_kbps,higher,5,10026.0,0.0,0.0,10026.0,10026.0
per_trace,evaluation_challenging,q-learning,average_payload_bitrate_kbps,higher,5,12307.121937521937,0.0,0.0,12307.121937521937,12307.121937521937
per_trace,evaluation_challenging,q-learning,buffer_mean_s,descriptive,5,2.161798075659722,0.0,0.0,2.161798075659722,2.161798075659722
per_trace,evaluation_challenging,q-learning,buffer_std_s,lower,5,1.1348879455218377,0.0,0.0,1.1348879455218377,1.1348879455218377
per_trace,evaluation_challenging,q-learning,mean_objective_reward,higher,5,-3.1248901863931806,0.0,0.0,-3.1248901863931806,-3.1248901863931806
per_trace,evaluation_challenging,q-learning,switch_count,lower,5,0.0,0.0,0.0,0.0,0.0
per_trace,evaluation_challenging,q-learning,high_representation_fraction_percent,descriptive,5,0.0,0.0,0.0,0.0,0.0
overall_per_seed,all_evaluation_traces,static,startup_delay_s,lower,5,2.453286674236927,0.0,0.0,2.453286674236927,2.453286674236927
overall_per_seed,all_evaluation_traces,static,rebuffering_s,lower,5,2.8161096908277945,0.0,0.0,2.8161096908277945,2.8161096908277945
overall_per_seed,all_evaluation_traces,static,rebuffering_rate_percent,lower,5,9.88455489936046,0.0,0.0,9.88455489936046,9.88455489936046
overall_per_seed,all_evaluation_traces,static,average_bitrate_kbps,higher,5,11092.422222222222,0.0,0.0,11092.422222222222,11092.422222222222
overall_per_seed,all_evaluation_traces,static,average_payload_bitrate_kbps,higher,5,13272.472774072774,0.0,0.0,13272.472774072774,13272.472774072774
overall_per_seed,all_evaluation_traces,static,buffer_mean_s,descriptive,5,3.884307966890622,0.0,0.0,3.884307966890622,3.884307966890622
