scope,trace,baseline,metric,better_when,delta_definition,n,mean,std,ci95_half_width,ci95_low,ci95_high,ci95_excludes_zero
per_trace,evaluation_bursty,throughput,rebuffering_rate_percent,lower,q-learning_minus_throughput,5,0.0,0.0,0.0,0.0,0.0,False
per_trace,evaluation_bursty,throughput,average_bitrate_kbps,higher,q-learning_minus_throughput,5,0.0,0.0,0.0,0.0,0.0,False
per_trace,evaluation_bursty,throughput,average_payload_bitrate_kbps,higher,q-learning_minus_throughput,5,0.0,0.0,0.0,0.0,0.0,False
per_trace,evaluation_bursty,throughput,buffer_mean_s,descriptive,q-learning_minus_throughput,5,0.0,0.0,0.0,0.0,0.0,False
per_trace,evaluation_bursty,throughput,buffer_std_s,lower,q-learning_minus_throughput,5,0.0,0.0,0.0,0.0,0.0,False
per_trace,evaluation_bursty,throughput,mean_objective_reward,higher,q-learning_minus_throughput,5,0.0,0.0,0.0,0.0,0.0,False
per_trace,evaluation_bursty,throughput,switch_count,lower,q-learning_minus_throughput,5,0.0,0.0,0.0,0.0,0.0,False
per_trace,evaluation_bursty,throughput,high_representation_fraction_percent,descriptive,q-learning_minus_throughput,5,0.0,0.0,0.0,0.0,0.0,False
per_trace,evaluation_challenging,throughput,startup_delay_s,lower,q-learning_minus_throughput,5,0.0,0.0,0.0,0.0,0.0,False
per_trace,evaluation_challenging,throughput,rebuffering_s,lower,q-learning_minus_throughput,5,0.0,0.0,0.0,0.0,0.0,False
per_trace,evaluation_challenging,throughput,rebuffering_rate_percent,lower,q-learning_minus_throughput,5,0.0,0.0,0.0,0.0,0.0,False
per_trace,evaluation_challenging,throughput,average_bitrate_kbps,higher,q-learning_minus_throughput,5,0.0,0.0,0.0,0.0,0.0,False
per_trace,evaluation_challenging,throughput,average_payload_bitrate_kbps,higher,q-learning_minus_throughput,5,0.0,0.0,0.0,0.0,0.0,False
per_trace,evaluation_challenging,throughput,buffer_mean_s,descriptive,q-learning_minus_throughput,5,0.0,0.0,0.0,0.0,0.0,False
per_trace,evaluation_challenging,throughput,buffer_std_s,lower,q-learning_minus_throughput,5,0.0,0.0,0.0,0.0,0.0,False
